#{"t_start": 1787654605.559379, "env_id": "None"}
r,l,t
-8.810813,83,165.928126
17.459103,39,165.951171
5.876515,72,165.992312
17.933074,143,166.075272
18.205025,79,166.120648
18.47714,49,166.148283
18.147649,53,166.181368
-6.571993,200,166.296036
-26.396788,129,166.36968
18.06869,94,166.423022
20.369467,90,166.897747
18.593127,86,166.95926
-8.076411,46,166.992904
14.651278,193,167.111004
19.887427,82,167.164874
18.734991,97,167.227074
17.655145,53,167.259137
19.762401,94,167.322522
-5.377214,95,167.392081
19.796299,86,167.457031
19.594457,124,167.529998
17.393383,77,167.993508
17.567079,79,168.040401
19.143502,60,168.076536
22.579953,94,168.143536
16.794306,118,168.221115
-2.202038,83,168.273956
20.820796,91,168.330326
18.944378,93,168.387841
-37.962718,163,168.488147
-5.096295,200,169.001579
20.320818,77,169.049525
8.610928,77,169.098184
5.846904,200,169.233419
19.551368,56,169.267309
18.330746,88,169.320898
-2.980865,67,169.364864
2.102643,200,169.489901
-6.877772,83,169.539054
20.686253,90,169.595046
19.276163,66,170.059148
13.964236,86,170.116646
19.270506,106,170.187114
16.94861,170,170.301256
21.066313,98,170.362764
20.247326,92,170.42523
20.354449,85,170.487158
17.681255,86,170.5545
19.99625,95,170.615012
0.724216,200,171.125571
19.050383,94,171.184296
-6.495883,200,171.298199
2.897753,200,171.414419
1.808282,44,171.43976
-12.363662,200,171.552898
18.885183,105,171.619109
18.3721,61,171.666792
22.229796,133,172.249919
19.30869,119,172.337465
18.466388,100,172.404521
-7.275524,160,172.518216
17.917562,68,172.569873
20.177109,100,172.654054
19.788988,107,172.726369
-9.091625,94,172.784615
17.578205,92,172.846137
17.632999,88,172.90403
10.009482,46,172.933154
0.313616,200,173.488921
-8.138808,200,173.625551
19.764293,121,173.701271
19.087592,93,173.757526
18.588122,79,173.803551
19.455926,59,173.838787
3.581424,200,173.963439
20.164283,172,174.48064
18.107499,58,174.516974
-41.049249,200,174.64057
-10.371321,200,174.775484
18.842541,75,174.824363
2.144101,200,174.964524
-10.733386,169,175.090755
-6.678214,200,175.625985
-5.060307,59,175.666247
-9.395737,51,175.70033
21.109653,76,175.750904
19.577028,114,175.821573
-19.973178,200,175.950658
9.259072,81,176.001241
18.06967,64,176.041397
14.771352,89,176.100498
18.84714,81,176.152653
19.998851,98,176.614329
